type,metadata.generated,metadata.title,metadata.id,features.type,features.properties.capacity,features.properties.efficiency,features.properties.mag,features.properties.time,features.properties.updated,features.properties.type,features.geometry.type,features.geometry.coordinates.longitude,features.geometry.coordinates.latitude,features.eventId
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,806e190e-deb0-44ac-8cf1-653d163c785d,Features,3572,0.5738677800414163,927218.0048178282,1647385200000,1647385200000,electricityGeneration,Point,10.709822925709792,51.57764781149496,c03f8b6a-93d9-4b92-a275-78ad5cbcb698
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,806e190e-deb0-44ac-8cf1-653d163c785d,Features,3572,0.5738677800414163,1843173.3814329472,1647385200000,1647385260000,electricityGeneration,Point,10.709822925709792,51.57764781149496,329b9871-b4ab-47f3-bf08-17b67a954cbd
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,806e190e-deb0-44ac-8cf1-653d163c785d,Features,3572,0.5738677800414163,1110929.7092944088,1647385200000,1647385320000,electricityGeneration,Point,10.709822925709792,51.57764781149496,718b00f3-466c-4e53-ad96-9cfdd8d5bd70
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,806e190e-deb0-44ac-8cf1-653d163c785d,Features,3572,0.5738677800414163,836278.9288901305,1647385200000,1647385380000,electricityGeneration,Point,10.709822925709792,51.57764781149496,073c5e5b-73cd-46c9-933e-01a1404109f8
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,806e190e-deb0-44ac-8cf1-653d163c785d,Features,3572,0.5738677800414163,1690550.9256626223,1647385200000,1647385440000,electricityGeneration,Point,10.709822925709792,51.57764781149496,71dca3c8-0d6f-4149-8453-c6c8ceb7ebd6
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,806e190e-deb0-44ac-8cf1-653d163c785d,Features,3572,0.5738677800414163,1302860.8903633675,1647385200000,1647385500000,electricityGeneration,Point,10.709822925709792,51.57764781149496,afe781a7-626d-4c15-a18d-4de90bc5f922
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,806e190e-deb0-44ac-8cf1-653d163c785d,Features,3572,0.5738677800414163,529738.1550261358,1647385200000,1647385560000,electricityGeneration,Point,10.709822925709792,51.57764781149496,64130407-884c-4024-848f-0e404913fe9c
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,806e190e-deb0-44ac-8cf1-653d163c785d,Features,3572,0.5738677800414163,619524.6707911132,1647385200000,1647385620000,electricityGeneration,Point,10.709822925709792,51.57764781149496,abc250ac-d41a-43f3-a135-c719778a703f
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,806e190e-deb0-44ac-8cf1-653d163c785d,Features,3572,0.5738677800414163,1392647.5399038037,1647385200000,1647385680000,electricityGeneration,Point,10.709822925709792,51.57764781149496,8ea58ff1-17cd-4173-b102-383cbc35ad82
FeatureCollection,1647471600000,Wind Turbine Data Generated for Nebula Stream,806e190e-deb0-44ac-8cf1-653d163c785d,Features,3572,0.5738677800414163,1397502.4531923032,1647385200000,1647385740000,electricityGeneration,Point,10.709822925709792,51.57764781149496,e65cd0da-95cd-4ac1-8f84-a78520e0b1b5
