,Registered,Scheduling,Running,,
0,1.6135085047152E+018,1.61350850471532E+018,1.61350851834229E+018,,13.627089408
1,1.61350850519243E+018,1.61350851834232E+018,1.61350855013618E+018,,44.943749376
2,1.61350850538368E+018,1.61350855013628E+018,1.61350859001637E+018,,84.632694016
3,1.6135085055076E+018,1.61350859001641E+018,1.61350860596235E+018,,100.454747136
4,1.61350850570542E+018,1.61350860596238E+018,1.61350861874975E+018,,113.044331008
5,1.61350850646684E+018,1.61350861874977E+018,1.61350863544516E+018,,128.978312448
6,1.61350850664105E+018,1.61350863544518E+018,1.61350865137404E+018,,144.732996608
7,1.61350850675518E+018,1.61350865137407E+018,1.61350867589015E+018,,169.13496448
8,1.61350850756376E+018,1.61350867589018E+018,1.6135086996439E+018,,192.080141056
9,1.61350850760163E+018,1.61350869964393E+018,1.6135087236099E+018,,216.008263168
10,1.61350850774974E+018,1.61350872360992E+018,1.61350874794437E+018,,240.19462528
11,1.61350850842276E+018,1.61350874794439E+018,1.61350877490309E+018,,266.4803328
12,1.61350850845584E+018,1.61350877490312E+018,1.61350880380588E+018,,295.350048256
13,1.61350850849995E+018,1.6135088038059E+018,1.61350883399964E+018,,325.499684864
14,1.61350850855121E+018,1.61350883399966E+018,1.61350886523085E+018,,356.679648512
15,1.6135085086424E+018,1.61350886523087E+018,1.61350889885173E+018,,390.20932608
16,1.61350850871363E+018,1.61350889885176E+018,,,
17,1.61350850978019E+018,,,,
18,1.61350850992954E+018,,,,
19,1.61350851059901E+018,,,,
20,1.61350851288683E+018,,,,
21,1.61350851340339E+018,,,,
22,1.61350851360188E+018,,,,
23,1.61350851366684E+018,,,,
24,1.61350851481484E+018,,,,
25,1.61350851490225E+018,,,,
26,1.61350851497474E+018,,,,
27,1.61350851549728E+018,,,,
28,1.61350851568756E+018,,,,
29,1.61350851569473E+018,,,,
30,1.61350851625688E+018,,,,
31,1.6135085162849E+018,,,,
32,1.61350851689992E+018,,,,
33,1.6135085171883E+018,,,,
34,1.61350851733719E+018,,,,
35,1.61350851743083E+018,,,,
36,1.61350851789793E+018,,,,
37,1.61350851930509E+018,,,,
38,1.61350851932532E+018,,,,
