QueryId,Registered,Scheduling,Running
0,1613318480667182125,1613318480667307336,1613318496499943435
1,1613318481236873989,1613318496499987100,1613318496666546963
2,1613318481308258159,1613318496666594153,1613318496777801999
3,1613318481652212231,1613318496777847881,1613318496910680197
4,1613318481756765679,1613318496910800708,1613318497111118013
5,1613318482706433315,1613318497111163844,1613318497387373388
6,1613318483690180244,1613318497387421608,1613318497714231116
7,1613318483822363388,1613318497714264731,1613318498057284107
8,1613318485191258174,1613318498057319523,1613318498297591986
9,1613318485581381517,1613318498297626058,1613318498909582919
10,1613318485734386023,1613318498909616118,1613318499131278428
11,1613318485908268987,1613318499131312993,1613318499368724152
12,1613318486289555845,1613318499368760067,1613318499616793367
13,1613318487552343879,1613318499616827072,1613318499890453496
14,1613318487602658052,1613318499890500835,1613318500255326148
15,1613318487639403758,1613318500255359292,1613318500596817902
16,1613318488806971010,1613318500596869391,1613318500890870962
17,1613318489013917517,1613318500890904978,1613318501403277006
18,1613318489147450562,1613318501403310375,1613318502527172140
19,1613318489416104856,1613318502527223464,1613318503569567179
20,1613318489686347194,1613318503569617206,1613318505239459287
21,1613318489700946933,1613318505239507158,1613318506911620854
22,1613318490083271308,1613318506911662443,1613318508381269811
23,1613318490264129329,1613318508381312382,1613318510652975442
24,1613318491078798522,1613318510653023767,1613318512096344857
25,1613318491417534167,1613318512096420319,1613318514374827066
26,1613318491483236781,1613318514374875732,1613318516310123994
27,1613318491690571213,1613318516310173427,1613318517678982288
28,1613318491915154325,1613318517679019148,1613318519322338656
29,1613318492263443706,1613318519322390970,1613318521639244381
30,1613318492353290243,1613318521639284432,1613318522518311885
31,1613318494647017104,1613318522518339859,1613318524198768339
32,1613318496006435492,1613318524198813229,1613318525629460281
33,1613318496684963498,1613318525629498165,1613318527673239426
34,1613318497803112963,1613318527673280481,1613318530024777216
35,1613318497939575962,1613318530024815078,1613318532520969661
36,1613318498237017941,1613318532521009713,1613318534542064584
37,1613318498450758827,1613318534542106758,1613318536274159138
38,1613318498764230424,1613318536274200052,1613318538857161896
39,1613318499066531213,1613318538857202793,1613318541121176806
40,1613318499691519708,1613318541121215912,1613318543757679739
41,1613318500519163652,1613318543757716888,1613318546472117151
42,1613318501292283253,1613318546472159003,1613318548899415400
43,1613318501348885822,1613318548899467275,1613318552941518978
44,1613318501539477360,1613318552941557449,1613318556106142861
45,1613318502378905002,1613318556106185179,1613318559810234226
46,1613318503013103739,1613318559810278246,1613318563566273259
47,1613318503169659722,1613318563566319961,1613318568486388566
48,1613318503890598695,1613318568486434357,1613318573178596448
49,1613318504716681464,1613318573178642563,1613318577192811565
50,1613318506586629972,1613318577192850993,1613318579299090294
51,1613318506876493075,1613318579299137988,1613318580690841679
52,1613318507814084353,1613318580690866262,1613318581353779836
53,1613318508442694080,1613318581353800721,1613318581934068400
54,1613318508704841379,1613318581934086884,1613318582481554014
55,1613318508876112262,1613318582481577813,1613318583022381175
56,1613318509331292846,1613318583022407452,1613318583562687197
57,1613318510320549204,1613318583562704122,1613318584144369573
58,1613318510325918000,1613318584144392656,1613318584707266852
59,1613318511085703354,1613318584707284498,1613318585312091592
60,1613318512131585097,1613318585312109157,1613318585915371754
61,1613318512186377878,1613318585915388619,1613318586549437165
