Repo Name,PRs Opened (2024-10-01 to 2024-10-28),PRs Opened Int (2024-10-01 to 2024-10-28),PRs Opened Ext (2024-10-01 to 2024-10-28),PRs Opened FTC (2024-10-01 to 2024-10-28),PRs Merged (2024-10-01 to 2024-10-28),PR turnaround time (2024-10-01 to 2024-10-28),PRs Closed (2024-10-01 to 2024-10-28),PRs Open (all time),PR turnaround time (all time),Total PRs (all time),Total PRs Int (all time),Total PRs Ext (all time),Issues Opened (2024-10-01 to 2024-10-28),Issues Opened Int (2024-10-01 to 2024-10-28),Issues Opened Ext (2024-10-01 to 2024-10-28),Issues Opened FTC (2024-10-01 to 2024-10-28),Issues Closed (2024-10-01 to 2024-10-28),Total Issues (all time),Total Issues Int (all time),Total Issues Ext (all time),Open Issues (all time),Stale Issues (>2024-10-01),% Stale Issues (all time),Old Issues (>2024-10-28),% Old Issues (all time),% Issues Closed by PR (all time),Average Issue open days (all time),Contributors (2024-10-01 to 2024-10-28),Contributors Int (2024-10-01 to 2024-10-28),Contributors Ext (2024-10-01 to 2024-10-28),Contributors FTC (2024-10-01 to 2024-10-28),Contributors (all time),Contributors Int (all time),Contributors Ext (all time),Stars (all time),Watches (all time),Forks (all time)
nebulastream-public,40,40,0,3,28,15,9,22,10,179,174,5,41,34,7,0,37,210,176,34,104,0,0%,0,0%,71%,35,13,12,3,3,18,14,7,8,5,0
nautilus,14,14,0,0,15,8,1,2,4,62,62,0,0,0,0,0,0,4,4,0,1,0,0%,0,0%,33%,11,2,2,0,0,4,4,0,14,9,4
nebulastream,11,10,1,0,8,12,5,20,7,1896,1771,125,13,11,2,0,8,3188,3064,124,698,0,0%,0,0%,53%,111,9,8,1,0,106,60,46,22,28,0
sql-parser,5,5,0,0,0,N/A,0,5,N/A,5,5,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,1,1,0,0,1,1,0,0,0,0
nebulastream-ui,4,2,2,2,2,15,1,7,5,143,102,41,10,1,9,0,4,216,193,23,64,0,0%,0,0%,57%,95,3,2,1,1,23,14,10,0,17,0
needmi,1,0,1,0,1,4,0,3,13,5,0,5,1,0,1,0,0,13,6,7,11,0,0%,0,0%,0%,22,2,0,2,0,4,1,3,0,11,0
SENSE-hackathon,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,51,40,11,9,0,0%,0,0%,0%,16,0,0,0,0,4,3,1,0,3,0
SENSE-lib,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,1,1,0,1,0,0%,0,0%,N/A,N/A,0,0,0,0,1,1,0,0,3,0
SENSE-node,0,0,0,0,0,N/A,0,0,0,1,1,0,0,0,0,0,0,3,3,0,1,0,0%,0,0%,0%,185,0,0,0,0,2,2,0,0,2,0
edge-scheduler,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,2,0
