scheduling,mode,iteration,query,time_seconds,bytes_per_second,tuples_per_second
GLOBAL_QUEUE,file,1,YSB_file,3.591278,280301458.1438697,2784524.0607939567
GLOBAL_QUEUE,file,2,YSB_file,3.415307,294743769.7401727,2927994.467261655
GLOBAL_QUEUE,file,3,YSB_file,3.274732,307396287.6962145,3053685.0038415357
GLOBAL_QUEUE,memory,1,YSB_memory,5.045388,199516956.87229604,1982008.1230620916
GLOBAL_QUEUE,memory,2,YSB_memory,3.974539,253272256.2289614,2516015.0648918026
GLOBAL_QUEUE,memory,3,YSB_memory,3.867943,260252144.35683256,2585353.5070191054
GLOBAL_QUEUE,in_place,1,YSB_in_place,3.821388,263422730.17029417,2616850.2125405744
GLOBAL_QUEUE,in_place,2,YSB_in_place,3.83304,262621955.4191973,2608895.2893786654
GLOBAL_QUEUE,in_place,3,YSB_in_place,5.020144,200520236.07290944,1991974.7321989168
PER_THREAD_ROUND_ROBIN,file,1,YSB_file,3.961591,254100047.1780151,2524238.367867859
PER_THREAD_ROUND_ROBIN,file,2,YSB_file,3.752103,268287000.65003547,2665172.038187651
PER_THREAD_ROUND_ROBIN,file,3,YSB_file,3.844045,261870102.97746256,2601426.3620743253
PER_THREAD_ROUND_ROBIN,memory,1,YSB_memory,5.853603,171969376.8094625,1708349.5412996064
PER_THREAD_ROUND_ROBIN,memory,2,YSB_memory,4.224601,238280599.75368088,2367087.4480217188
PER_THREAD_ROUND_ROBIN,memory,3,YSB_memory,4.221417,238460322.68311802,2368872.8216141644
PER_THREAD_ROUND_ROBIN,in_place,1,YSB_in_place,4.147894,242687122.66996217,2410861.994062529
PER_THREAD_ROUND_ROBIN,in_place,2,YSB_in_place,4.190009,240247803.76366735,2386629.7184564522
PER_THREAD_ROUND_ROBIN,in_place,3,YSB_in_place,4.12402,244092041.26071164,2424818.5023351004
PER_THREAD_SMALLEST_QUEUE,file,1,YSB_file,6.070775,165817454.93779624,1647236.143655464
PER_THREAD_SMALLEST_QUEUE,file,2,YSB_file,5.392777,186664581.16106045,1854332.1928572238
PER_THREAD_SMALLEST_QUEUE,file,3,YSB_file,4.735105,212590947.82481065,2111885.5864864667
PER_THREAD_SMALLEST_QUEUE,memory,1,YSB_memory,5.16514,194891224.63282698,1936055.9442725657
PER_THREAD_SMALLEST_QUEUE,memory,2,YSB_memory,5.999238,167794719.92943102,1666878.3602184143
PER_THREAD_SMALLEST_QUEUE,memory,3,YSB_memory,5.328379,188920581.66282842,1876743.3773010515
PER_THREAD_SMALLEST_QUEUE,in_place,1,YSB_in_place,4.756713,211625225.2343162,2102292.065970766
PER_THREAD_SMALLEST_QUEUE,in_place,2,YSB_in_place,4.749563,211943806.19859132,2105456.85992585
PER_THREAD_SMALLEST_QUEUE,in_place,3,YSB_in_place,5.290198,190284080.10437417,1890288.4164260013
