threads,scheduling,work_stealing,mode,iteration,query,time_seconds,bytes_per_second,tuples_per_second
1,GLOBAL_QUEUE,false,memory,1,YSB_memory,4.845593,207743502.18848342,2063730.899396627
1,GLOBAL_QUEUE,false,memory,2,YSB_memory,4.688241,214716022.49116462,2132996.149302052
1,GLOBAL_QUEUE,false,memory,3,YSB_memory,4.947158,203478534.54447988,2021362.5681653991
1,PER_THREAD_ROUND_ROBIN,false,memory,1,YSB_memory,4.823691,208686762.895882,2073101.2828143428
1,PER_THREAD_ROUND_ROBIN,false,memory,2,YSB_memory,4.65515,216242325.16675082,2148158.4911334757
1,PER_THREAD_ROUND_ROBIN,false,memory,3,YSB_memory,4.743835,212199720.26851693,2107999.1188563686
1,PER_THREAD_ROUND_ROBIN,true,memory,1,YSB_memory,4.77112,210986196.11328158,2095943.9293080033
1,PER_THREAD_ROUND_ROBIN,true,memory,2,YSB_memory,4.60597,218551241.1066507,2171095.339309635
1,PER_THREAD_ROUND_ROBIN,true,memory,3,YSB_memory,4.610993,218313161.61182636,2168730.249644708
1,PER_THREAD_SMALLEST_QUEUE,false,memory,1,YSB_memory,4.68148,215026115.67282143,2136076.6253407043
1,PER_THREAD_SMALLEST_QUEUE,false,memory,2,YSB_memory,4.643534,216783264.64283454,2153532.2019823696
1,PER_THREAD_SMALLEST_QUEUE,false,memory,3,YSB_memory,4.687327,214757890.7978897,2133412.0704614804
1,PER_THREAD_SMALLEST_QUEUE,true,memory,1,YSB_memory,4.75703,211611122.90651938,2102151.972974734
1,PER_THREAD_SMALLEST_QUEUE,true,memory,2,YSB_memory,4.641033,216900086.68328795,2154692.7160397265
1,PER_THREAD_SMALLEST_QUEUE,true,memory,3,YSB_memory,4.865975,206873331.65501264,2055086.596211448
2,GLOBAL_QUEUE,false,memory,1,YSB_memory,3.164496,318104513.3253447,3160060.875412704
2,GLOBAL_QUEUE,false,memory,2,YSB_memory,3.117304,322920209.25774324,3207900.159881744
2,GLOBAL_QUEUE,false,memory,3,YSB_memory,3.156677,318892449.24330235,3167888.2571767713
2,PER_THREAD_ROUND_ROBIN,false,memory,1,YSB_memory,3.269923,307848368.2949109,3058175.98763029
2,PER_THREAD_ROUND_ROBIN,false,memory,2,YSB_memory,3.288469,306112193.85069466,3040928.7726294515
2,PER_THREAD_ROUND_ROBIN,false,memory,3,YSB_memory,3.529697,285191748.7535049,2833104.3712817277
2,PER_THREAD_ROUND_ROBIN,true,memory,1,YSB_memory,3.407964,295378842.0300214,2934303.2966310675
2,PER_THREAD_ROUND_ROBIN,true,memory,2,YSB_memory,3.424313,293968588.7359012,2920293.793236775
2,PER_THREAD_ROUND_ROBIN,true,memory,3,YSB_memory,3.417562,294549289.8153713,2926062.4971836647
2,PER_THREAD_SMALLEST_QUEUE,false,memory,1,YSB_memory,4.793452,210003241.92252263,2086179.229498908
2,PER_THREAD_SMALLEST_QUEUE,false,memory,2,YSB_memory,4.659222,216053336.80172357,2146281.0743939653
2,PER_THREAD_SMALLEST_QUEUE,false,memory,3,YSB_memory,4.803792,209551217.03853956,2081688.7991819798
2,PER_THREAD_SMALLEST_QUEUE,true,memory,1,YSB_memory,4.802325,209615230.12290922,2082324.7073032334
2,PER_THREAD_SMALLEST_QUEUE,true,memory,2,YSB_memory,4.781005,210549970.14226088,2091610.4459208888
2,PER_THREAD_SMALLEST_QUEUE,true,memory,3,YSB_memory,4.832915,208288467.72599974,2069144.6052744566
4,GLOBAL_QUEUE,false,memory,1,YSB_memory,3.913103,257248648.96221745,2555516.6833073394
