ts:UINT64:NOT_NULLABLE,p_absent_A1:FLOAT32:NOT_NULLABLE,empty_A1:UINT64:NOT_NULLABLE,p_absent_A2:FLOAT32:NOT_NULLABLE,empty_A2:UINT64:NOT_NULLABLE,p_absent_A3:FLOAT32:NOT_NULLABLE,empty_A3:UINT64:NOT_NULLABLE,p_absent_B1:FLOAT32:NOT_NULLABLE,empty_B1:UINT64:NOT_NULLABLE,p_absent_B2:FLOAT32:NOT_NULLABLE,empty_B2:UINT64:NOT_NULLABLE,p_absent_B3:FLOAT32:NOT_NULLABLE,empty_B3:UINT64:NOT_NULLABLE,p_absent_C1:FLOAT32:NOT_NULLABLE,empty_C1:UINT64:NOT_NULLABLE,p_absent_C2:FLOAT32:NOT_NULLABLE,empty_C2:UINT64:NOT_NULLABLE,p_absent_C3:FLOAT32:NOT_NULLABLE,empty_C3:UINT64:NOT_NULLABLE,num_empty:UINT64:NOT_NULLABLE
1789481914425,0.324698,0,0.237945,0,0.095405,0,0.916673,1,0.000009,0,0.008454,0,0.000002,0,0.0,0,0.0,0,1
1789481914427,0.324698,0,0.237945,0,0.095405,0,0.916673,1,0.000009,0,0.008454,0,0.000002,0,0.0,0,0.0,0,1
1789481914985,0.319646,0,0.222724,0,0.057613,0,0.916673,1,0.000004,0,0.002166,0,0.000002,0,0.0,0,0.0,0,1
1789481914995,0.319646,0,0.222724,0,0.057613,0,0.916673,1,0.000004,0,0.002166,0,0.000002,0,0.0,0,0.0,0,1
1789481915526,0.266475,0,0.289429,0,0.043166,0,0.916673,1,0.000004,0,0.003426,0,0.000001,0,0.0,0,0.0,0,1
1789481915566,0.266475,0,0.289429,0,0.043166,0,0.916673,1,0.000004,0,0.003426,0,0.000001,0,0.0,0,0.0,0,1
1789481918424,0.261176,0,0.353666,0,0.024964,0,0.916673,1,0.00002,0,0.009618,0,0.000001,0,0.0,0,0.0,0,1
1789481919006,0.274453,0,0.27603,0,0.048109,0,0.916673,1,0.000004,0,0.007235,0,0.000002,0,0.0,0,0.0,0,1
1789481919541,0.282025,0,0.198378,0,0.091527,0,0.916673,1,0.000013,0,0.007316,0,0.000003,0,0.0,0,0.0,0,1
1789481919649,0.26847,0,0.140097,0,0.125614,0,0.916673,1,0.000008,0,0.009364,0,0.00001,0,0.0,0,0.0,0,1
1789481918573,0.252997,0,0.231766,0,0.01558,0,0.916673,1,0.000007,0,0.006413,0,0.000001,0,0.0,0,0.0,0,1
1789481919121,0.281488,0,0.352196,0,0.156799,0,0.916673,1,0.000003,0,0.006825,0,0.000001,0,0.0,0,0.0,0,1
1789481922541,0.183368,0,0.114416,0,0.105919,0,0.916673,1,0.000005,0,0.006646,0,0.000003,0,0.0,0,0.0,0,1
1789481923237,0.279246,0,0.189594,0,0.101119,0,0.916673,1,0.000004,0,0.00534,0,0.000003,0,0.0,0,0.0,0,1
1789481923294,0.279246,0,0.189594,0,0.101119,0,0.916673,1,0.000004,0,0.00534,0,0.000003,0,0.0,0,0.0,0,1
1789481922539,0.183368,0,0.114416,0,0.105919,0,0.916673,1,0.000005,0,0.006646,0,0.000003,0,0.0,0,0.0,0,1
1789481923828,0.31597,0,0.229984,0,0.036238,0,0.916673,1,0.000004,0,0.015643,0,0.000001,0,0.0,0,0.0,0,1
1789481923873,0.178782,0,0.184381,0,0.020198,0,0.916673,1,0.000005,0,0.005019,0,0.000001,0,0.0,0,0.0,0,1
1789481916167,0.32257,0,0.263269,0,0.101132,0,0.916673,1,0.000009,0,0.01103,0,0.000004,0,0.0,0,0.0,0,1
1789481917283,0.261353,0,0.188596,0,0.165584,0,0.916673,1,0.000003,0,0.002838,0,0.000003,0,0.0,0,0.0,0,1
1789481916652,0.151992,0,0.315769,0,0.065404,0,0.916673,1,0.000005,0,0.005523,0,0.000001,0,0.0,0,0.0,0,1
1789481917207,0.261353,0,0.188596,0,0.165584,0,0.916673,1,0.000003,0,0.002838,0,0.000003,0,0.0,0,0.0,0,1
1789481917938,0.278969,0,0.215593,0,0.065998,0,0.916673,1,0.000003,0,0.003214,0,0.000001,0,0.0,0,0.0,0,1
1789481916095,0.2744,0,0.201529,0,0.12757,0,0.916673,1,0.000004,0,0.008041,0,0.00001,0,0.0,0,0.0,0,1
1789481916720,0.151992,0,0.315769,0,0.065404,0,0.916673,1,0.000005,0,0.005523,0,0.000001,0,0.0,0,0.0,0,1
1789481917772,0.258797,0,0.111663,0,0.254352,0,0.916673,1,0.00001,0,0.009763,0,0.000007,0,0.0,0,0.0,0,1
1789481920247,0.239726,0,0.254033,0,0.132676,0,0.916673,1,0.000022,0,0.009892,0,0.000002,0,0.0,0,0.0,0,1
1789481921951,0.263389,0,0.198469,0,0.128237,0,0.916673,1,0.000003,0,0.005509,0,0.000003,0,0.0,0,0.0,0,1
1789481920105,0.239726,0,0.254033,0,0.132676,0,0.916673,1,0.000022,0,0.009892,0,0.000002,0,0.0,0,0.0,0,1
1789481920729,0.397202,0,0.234798,0,0.106944,0,0.916673,1,0.000002,0,0.009773,0,0.000002,0,0.0,0,0.0,0,1
1789481921324,0.361525,0,0.195824,0,0.095895,0,0.916673,1,0.000005,0,0.007058,0,0.000001,0,0.0,0,0.0,0,1
1789481921390,0.361525,0,0.195824,0,0.095895,0,0.916673,1,0.000005,0,0.007058,0,0.000001,0,0.0,0,0.0,0,1
1789481921957,0.263389,0,0.198469,0,0.128237,0,0.916673,1,0.000003,0,0.005509,0,0.000003,0,0.0,0,0.0,0,1
1789481920785,0.338553,0,0.161369,0,0.063183,0,0.916673,1,0.000008,0,0.005738,0,0.000004,0,0.0,0,0.0,0,1
1789481924456,0.151089,0,0.126265,0,0.022838,0,0.916673,1,0.000006,0,0.006346,0,0.000001,0,0.0,0,0.0,0,1
1789481925428,0.337374,0,0.085614,0,0.036128,0,0.916673,1,0.000003,0,0.007121,0,0.000002,0,0.0,0,0.0,0,1
1789481925626,0.13546,0,0.158115,0,0.04804,0,0.916673,1,0.000007,0,0.012766,0,0.000001,0,0.0,0,0.0,0,1
1789481924366,0.106426,0,0.154009,0,0.022076,0,0.916673,1,0.000005,0,0.003301,0,0.000001,0,0.0,0,0.0,0,1
1789481924901,0.250354,0,0.416446,0,0.024745,0,0.916673,1,0.000004,0,0.007736,0,0.000001,0,0.0,0,0.0,0,1
1789481925038,0.299028,0,0.148698,0,0.057971,0,0.916673,1,0.000003,0,0.007849,0,0.000002,0,0.0,0,0.0,0,1
1789481926752,0.392465,0,0.045445,0,0.049011,0,0.916673,1,0.000003,0,0.007173,0,0.000005,0,0.0,0,0.0,0,1
1789481927297,0.160344,0,0.22849,0,0.038625,0,0.916673,1,0.000006,0,0.003159,0,0.000001,0,0.0,0,0.0,0,1
1789481927867,0.083007,0,0.056509,0,0.029607,0,0.916673,1,0.000011,0,0.005241,0,0.000001,0,0.0,0,0.0,0,1
1789481926010,0.231501,0,0.079367,0,0.029161,0,0.916673,1,0.000004,0,0.003118,0,0.000001,0,0.0,0,0.0,0,1
1789481926180,0.231501,0,0.079367,0,0.029161,0,0.916673,1,0.000004,0,0.003118,0,0.000001,0,0.0,0,0.0,0,1
1789481926562,0.367218,0,0.138145,0,0.060917,0,0.916673,1,0.000003,0,0.008413,0,0.000003,0,0.0,0,0.0,0,1
1789481927106,0.142144,0,0.289621,0,0.029345,0,0.916673,1,0.000006,0,0.01049,0,0.000001,0,0.0,0,0.0,0,1
1789481927668,0.094459,0,0.150818,0,0.057359,0,0.916673,1,0.000007,0,0.012636,0,0.000001,0,0.0,0,0.0,0,1
1789481928321,0.138702,0,0.210387,0,0.015496,0,0.916673,1,0.000002,0,0.010673,0,0.000001,0,0.0,0,0.0,0,1
1789481928481,0.173015,0,0.231654,0,0.051689,0,0.916673,1,0.000005,0,0.009042,0,0.000003,0,0.0,0,0.0,0,1
1789481928887,0.17439,0,0.169982,0,0.032593,0,0.916673,1,0.000005,0,0.008338,0,0.0,0,0.0,0,0.0,0,1
1789481929034,0.17439,0,0.169982,0,0.032593,0,0.916673,1,0.000005,0,0.008338,0,0.0,0,0.0,0,0.0,0,1
1789481929442,0.136969,0,0.120572,0,0.035238,0,0.916673,1,0.000005,0,0.003061,0,0.0,0,0.0,0,0.0,0,1
1789481929579,0.167022,0,0.147439,0,0.028265,0,0.916673,1,0.000005,0,0.011211,0,0.000001,0,0.0,0,0.0,0,1
1789481930052,0.316943,0,0.40018,0,0.072147,0,0.916673,1,0.000003,0,0.003662,0,0.000002,0,0.0,0,0.0,0,1
1789481930607,0.096162,0,0.104098,0,0.028718,0,0.916673,1,0.000005,0,0.002868,0,0.000001,0,0.0,0,0.0,0,1
1789481931216,0.268063,0,0.168265,0,0.116685,0,0.916673,1,0.000005,0,0.003859,0,0.000003,0,0.0,0,0.0,0,1
1789481931251,0.268063,0,0.168265,0,0.116685,0,0.916673,1,0.000005,0,0.003859,0,0.000003,0,0.0,0,0.0,0,1
1789481931811,0.292295,0,0.247341,0,0.069667,0,0.916673,1,0.000003,0,0.005386,0,0.000002,0,0.0,0,0.0,0,1
1789481930152,0.194424,0,0.191462,0,0.02805,0,0.916673,1,0.000005,0,0.002304,0,0.000002,0,0.0,0,0.0,0,1
1789481930693,0.096162,0,0.104098,0,0.028718,0,0.916673,1,0.000005,0,0.002868,0,0.000001,0,0.0,0,0.0,0,1
1789481931751,0.3212,0,0.109486,0,0.092106,0,0.916673,1,0.000005,0,0.011732,0,0.000002,0,0.0,0,0.0,0,1
1789481932299,0.327761,0,0.315243,0,0.152555,0,0.916673,1,0.000012,0,0.005937,0,0.000002,0,0.0,0,0.0,0,1
1789481932356,0.327761,0,0.315243,0,0.152555,0,0.916673,1,0.000012,0,0.005937,0,0.000002,0,0.0,0,0.0,0,1
1789481933504,0.253823,0,0.13736,0,0.055086,0,0.916673,1,0.000006,0,0.009225,0,0.000005,0,0.0,0,0.0,0,1
1789481932944,0.387873,0,0.119689,0,0.04435,0,0.916673,1,0.000011,0,0.008168,0,0.000003,0,0.0,0,0.0,0,1
1789481932905,0.387873,0,0.119689,0,0.04435,0,0.916673,1,0.000011,0,0.008168,0,0.000003,0,0.0,0,0.0,0,1
1789481933549,0.253823,0,0.13736,0,0.055086,0,0.916673,1,0.000006,0,0.009225,0,0.000005,0,0.0,0,0.0,0,1
1789481935794,0.201277,0,0.137532,0,0.195177,0,0.916673,1,0.000003,0,0.006519,0,0.000001,0,0.0,0,0.0,0,1
1789481934063,0.288762,0,0.159552,0,0.152648,0,0.916673,1,0.000006,0,0.011648,0,0.000001,0,0.0,0,0.0,0,1
1789481934589,0.336757,0,0.141434,0,0.163888,0,0.916673,1,0.000005,0,0.007677,0,0.0,0,0.0,0,0.0,0,1
1789481935732,0.201277,0,0.137532,0,0.195177,0,0.916673,1,0.000003,0,0.006519,0,0.000001,0,0.0,0,0.0,0,1
1789481934142,0.288762,0,0.159552,0,0.152648,0,0.916673,1,0.000006,0,0.011648,0,0.000001,0,0.0,0,0.0,0,1
1789481934688,0.336757,0,0.141434,0,0.163888,0,0.916673,1,0.000005,0,0.007677,0,0.0,0,0.0,0,0.0,0,1
1789481935177,0.38455,0,0.237552,0,0.141207,0,0.916673,1,0.000006,0,0.006869,0,0.000003,0,0.0,0,0.0,0,1
1789481935240,0.38455,0,0.237552,0,0.141207,0,0.916673,1,0.000006,0,0.006869,0,0.000003,0,0.0,0,0.0,0,1
1789481936330,0.281153,0,0.132334,0,0.089858,0,0.916673,1,0.00001,0,0.003216,0,0.000001,0,0.0,0,0.0,0,1
1789481936289,0.281153,0,0.132334,0,0.089858,0,0.916673,1,0.00001,0,0.003216,0,0.000001,0,0.0,0,0.0,0,1
1789481936897,0.242362,0,0.277825,0,0.05451,0,0.916673,1,0.000013,0,0.014885,0,0.000003,0,0.0,0,0.0,0,1
1789481937433,0.263405,0,0.158286,0,0.071555,0,0.916673,1,0.000003,0,0.007933,0,0.000004,0,0.0,0,0.0,0,1
1789481936887,0.242362,0,0.277825,0,0.05451,0,0.916673,1,0.000013,0,0.014885,0,0.000003,0,0.0,0,0.0,0,1
1789481937456,0.263405,0,0.158286,0,0.071555,0,0.916673,1,0.000003,0,0.007933,0,0.000004,0,0.0,0,0.0,0,1
1789481937970,0.24698,0,0.201489,0,0.067886,0,0.916673,1,0.000007,0,0.004496,0,0.000001,0,0.0,0,0.0,0,1
1789481939234,0.27885,0,0.13083,0,0.163574,0,0.916673,1,0.000002,0,0.004729,0,0.000001,0,0.0,0,0.0,0,1
1789481938034,0.24698,0,0.201489,0,0.067886,0,0.916673,1,0.000007,0,0.004496,0,0.000001,0,0.0,0,0.0,0,1
1789481939291,0.251984,0,0.155673,0,0.177729,0,0.916673,1,0.000004,0,0.006423,0,0.000001,0,0.0,0,0.0,0,1
1789481939823,0.26241,0,0.121422,0,0.115127,0,0.916673,1,0.000003,0,0.002689,0,0.000001,0,0.0,0,0.0,0,1
1789481939879,0.26241,0,0.121422,0,0.115127,0,0.916673,1,0.000003,0,0.002689,0,0.000001,0,0.0,0,0.0,0,1
1789481938694,0.299435,0,0.239066,0,0.097571,0,0.916673,1,0.000003,0,0.006516,0,0.000002,0,0.0,0,0.0,0,1
1789481938764,0.217715,0,0.317001,0,0.09032,0,0.916673,1,0.000003,0,0.008606,0,0.000002,0,0.0,0,0.0,0,1
1789481940392,0.229554,0,0.306203,0,0.114401,0,0.916673,1,0.000004,0,0.003979,0,0.000005,0,0.0,0,0.0,0,1
1789481940402,0.229554,0,0.306203,0,0.114401,0,0.916673,1,0.000004,0,0.003979,0,0.000005,0,0.0,0,0.0,0,1
1789481940982,0.404277,0,0.29657,0,0.101613,0,0.916673,1,0.000004,0,0.005157,0,0.000004,0,0.0,0,0.0,0,1
1789481940964,0.404277,0,0.29657,0,0.101613,0,0.916673,1,0.000004,0,0.005157,0,0.000004,0,0.0,0,0.0,0,1
1789481941502,0.247121,0,0.253367,0,0.032799,0,0.916673,1,0.000004,0,0.005755,0,0.000001,0,0.0,0,0.0,0,1
1789481941549,0.247121,0,0.253367,0,0.032799,0,0.916673,1,0.000004,0,0.005755,0,0.000001,0,0.0,0,0.0,0,1
1789481944362,0.089514,0,0.100776,0,0.076149,0,0.916673,1,0.000006,0,0.002706,0,0.000001,0,0.0,0,0.0,0,1
1789481944527,0.140302,0,0.09174,0,0.048086,0,0.916673,1,0.000006,0,0.012338,0,0.000003,0,0.0,0,0.0,0,1
1789481944961,0.096756,0,0.134372,0,0.043266,0,0.916673,1,0.000006,0,0.007861,0,0.000001,0,0.0,0,0.0,0,1
1789481945062,0.091738,0,0.072202,0,0.043328,0,0.916673,1,0.000016,0,0.015949,0,0.0,0,0.0,0,0.0,0,1
1789481945528,0.167156,0,0.096969,0,0.04016,0,0.916673,1,0.000006,0,0.008696,0,0.000001,0,0.0,0,0.0,0,1
1789481945625,0.118763,0,0.078,0,0.051643,0,0.916673,1,0.000004,0,0.008246,0,0.000001,0,0.0,0,0.0,0,1
1789481942065,0.296302,0,0.195989,0,0.066167,0,0.916673,1,0.000009,0,0.006986,0,0.000001,0,0.0,0,0.0,0,1
1789481942689,0.214607,0,0.205483,0,0.163414,0,0.916673,1,0.000006,0,0.010107,0,0.000003,0,0.0,0,0.0,0,1
1789481943213,0.134122,0,0.271235,0,0.053223,0,0.916673,1,0.000009,0,0.008837,0,0.000002,0,0.0,0,0.0,0,1
1789481943296,0.105389,0,0.2017,0,0.048743,0,0.916673,1,0.000008,0,0.005531,0,0.000001,0,0.0,0,0.0,0,1
1789481943824,0.309957,0,0.149948,0,0.098027,0,0.916673,1,0.000004,0,0.007906,0,0.000004,0,0.0,0,0.0,0,1
1789481943946,0.107121,0,0.115357,0,0.048184,0,0.916673,1,0.000006,0,0.0094,0,0.000001,0,0.0,0,0.0,0,1
1789481942087,0.296302,0,0.195989,0,0.066167,0,0.916673,1,0.000009,0,0.006986,0,0.000001,0,0.0,0,0.0,0,1
1789481942630,0.214607,0,0.205483,0,0.163414,0,0.916673,1,0.000006,0,0.010107,0,0.000003,0,0.0,0,0.0,0,1
